Model name,Accuracy,Precision,Recall,F1 Score,PT p-value
Buy & Hold,0.5452380952380952,1.0,0.5452380952380952,0.7057010785824345,
MLP(8-4-1),0.6031746031746031,0.7394468704512372,0.6127864897466827,0.6701846965699209,0.0
